b'Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,6.66,6.88,6.62,6.82,1129500,6.82
2017-03-02,6.64,6.66,6.56,6.62,739400,6.62
2017-03-01,6.70,6.70,6.50,6.61,3939100,6.61
2017-02-28,6.78,6.96,6.51,6.75,3094300,6.75
2017-02-27,6.34,6.75,6.30,6.68,2242600,6.68
2017-02-24,6.29,6.39,6.00,6.34,1841300,6.34
2017-02-23,6.50,6.53,6.36,6.44,743700,6.44
2017-02-22,6.64,6.67,6.31,6.48,1762300,6.48
2017-02-21,6.68,6.75,6.51,6.62,2047100,6.62
2017-02-17,6.52,6.62,6.47,6.55,1155300,6.55
2017-02-16,6.36,6.72,6.35,6.51,2249700,6.51
2017-02-15,6.07,6.68,6.05,6.52,4820500,6.52
2017-02-14,6.00,6.05,5.75,6.00,2517900,6.00
2017-02-13,5.52,5.85,5.51,5.79,2212100,5.79
2017-02-10,5.51,5.55,5.48,5.50,627500,5.50
2017-02-09,5.47,5.53,5.45,5.49,978600,5.49
2017-02-08,5.45,5.48,5.36,5.45,711600,5.45
2017-02-07,5.40,5.54,5.36,5.40,1668500,5.40
2017-02-06,5.12,5.39,5.10,5.32,2551600,5.32
2017-02-03,5.48,5.50,5.42,5.50,434900,5.50
'
